Comment,Designator,Footprint,LCSC
M,SW_43,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
9,SW_45,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
I,SW_46,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
K,SW_47,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
<,SW_48,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
RALT,SW_49,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
1,SW_5,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
0,SW_50,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
O,SW_51,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
L,SW_52,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
>,SW_53,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
RGUI_1.5u,SW_54,Keebio-Parts:Kailh-PG1350-1.5u-MBK-WithKeyName-MillMax,
=,SW_55,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
P,SW_56,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
;,SW_57,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
/,SW_58,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
LEFT,SW_59,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
TAB_1.5u,SW_6,Keebio-Parts:Kailh-PG1350-1.5u-MBK-WithKeyName,
Num_/,SW_60,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
BS_1.5u,SW_61,Keebio-Parts:Kailh-PG1350-1.5u-MBK-WithKeyName,
ENT_1.5u,SW_62,Keebio-Parts:Kailh-PG1350-1.5u-MBK-WithKeyName,
UP,SW_63,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
DOWN,SW_64,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_*,SW_65,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_7,SW_66,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_4,SW_67,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_1,SW_68,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
RIGHT,SW_69,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
LCTL_1.5u,SW_7,Keebio-Parts:Kailh-PG1350-1.5u-MBK-WithKeyName-NoClickHole,
Num_-,SW_70,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_8,SW_71,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName-MillMax,
Num_5,SW_72,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_2,SW_73,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_0,SW_74,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_+,SW_75,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_9,SW_76,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Num_6,SW_77,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName-MillMax,
Num_3,SW_78,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName-MillMax,
Num_DOT,SW_79,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Z2,SW_8,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
LB2,SW_9,Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName,
Choc_with_Mill-Max,"TR_1,TR_2",Keebio-Parts:Kailh-PG1350-1u-MBK-WithKeyName-MillMax,
ATmega32U4-MU,U1,Housings_DFN_QFN:QFN-44-1EP_7x7mm_Pitch0.5mm,
24LC64,U2,Package_SO:SO-8_3.9x4.9mm_P1.27mm,C79988
ATmega32U4-AU-Dummy,U3,Package_QFP:TQFP-44_10x10mm_P0.8mm,
16MHz,Y1,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C13738
